2017.01.17-11:00,10195.00,10198.00,10193.00,10193.00,6
2017.01.17-11:15,10190.00,10190.00,10185.00,10190.00,14
2017.01.17-11:30,10188.00,10195.00,10188.00,10193.00,10
2017.01.17-11:45,10190.00,10195.00,10190.00,10193.00,7
2017.01.17-12:00,10190.00,10193.00,10190.00,10190.00,6
2017.01.17-12:15,10190.00,10190.00,10190.00,10190.00,1
2017.01.17-12:45,10188.00,10190.00,10188.00,10188.00,4
2017.01.17-13:00,10190.00,10190.00,10183.00,10183.00,6
2017.01.17-13:15,10185.00,10185.00,10183.00,10183.00,5
2017.01.17-13:30,10185.00,10188.00,10185.00,10185.00,6
2017.01.17-13:45,10188.00,10188.00,10178.00,10183.00,16
2017.01.17-14:00,10180.00,10185.00,10180.00,10183.00,7
2017.01.17-14:15,10185.00,10188.00,10185.00,10188.00,2
2017.01.17-14:30,10188.00,10190.00,10188.00,10190.00,6
2017.01.17-14:45,10188.00,10195.00,10188.00,10195.00,11
2017.01.17-15:00,10193.00,10193.00,10193.00,10193.00,1
2017.01.17-15:15,10195.00,10195.00,10195.00,10195.00,1
2017.01.17-15:45,10193.00,10195.00,10193.00,10193.00,11
2017.01.17-16:00,10195.00,10195.00,10193.00,10193.00,4
2017.01.17-16:15,10193.00,10198.00,10193.00,10195.00,10
2017.01.17-16:30,10198.00,10198.00,10193.00,10193.00,15
2017.01.17-16:45,10190.00,10190.00,10183.00,10183.00,8
2017.01.17-17:00,10185.00,10190.00,10185.00,10190.00,9
2017.01.17-17:15,10190.00,10193.00,10188.00,10190.00,7
2017.01.17-17:30,10190.00,10193.00,10190.00,10190.00,12
2017.01.17-17:45,10193.00,10193.00,10190.00,10190.00,5
2017.01.17-18:00,10193.00,10193.00,10190.00,10193.00,5
2017.01.17-18:15,10190.00,10193.00,10190.00,10193.00,2
2017.01.17-18:30,10190.00,10190.00,10188.00,10188.00,2
2017.01.17-18:45,10185.00,10188.00,10185.00,10188.00,3
2017.01.17-19:00,10185.00,10188.00,10185.00,10185.00,5
2017.01.17-19:15,10185.00,10185.00,10185.00,10185.00,3
2017.01.17-19:30,10188.00,10188.00,10185.00,10185.00,20
2017.01.17-19:45,10185.00,10188.00,10185.00,10185.00,88
2017.01.17-20:00,10188.00,10188.00,10188.00,10188.00,1
2017.01.17-20:15,10188.00,10188.00,10188.00,10188.00,2
2017.01.17-20:45,10188.00,10190.00,10185.00,10185.00,4
2017.01.17-21:15,10183.00,10190.00,10183.00,10190.00,4
2017.01.17-22:00,10188.00,10188.00,10188.00,10188.00,1
2017.01.17-22:30,10185.00,10195.00,10185.00,10193.00,20
2017.01.18-03:00,10190.00,10198.00,10185.00,10195.00,98
2017.01.18-03:15,10193.00,10203.00,10185.00,10195.00,52
2017.01.18-03:30,10193.00,10215.00,10180.00,10213.00,174
2017.01.18-03:45,10215.00,10250.00,10215.00,10248.00,177
2017.01.18-04:00,10250.00,10260.00,10243.00,10243.00,96
2017.01.18-04:15,10245.00,10270.00,10245.00,10253.00,101
2017.01.18-04:30,10255.00,10268.00,10243.00,10250.00,108
2017.01.18-04:45,10248.00,10250.00,10238.00,10245.00,82
2017.01.18-05:00,10243.00,10245.00,10223.00,10245.00,113
2017.01.18-05:15,10248.00,10253.00,10243.00,10253.00,44
2017.01.18-05:30,10245.00,10248.00,10243.00,10245.00,9
2017.01.18-05:45,10245.00,10248.00,10243.00,10245.00,14
2017.01.18-06:00,10245.00,10250.00,10245.00,10248.00,24
2017.01.18-06:15,10245.00,10248.00,10245.00,10248.00,11
2017.01.18-06:30,10245.00,10245.00,10243.00,10245.00,8
2017.01.18-06:45,10243.00,10245.00,10243.00,10243.00,4
2017.01.18-07:00,10245.00,10250.00,10243.00,10250.00,75
2017.01.18-07:15,10253.00,10265.00,10250.00,10263.00,113
2017.01.18-07:30,10260.00,10273.00,10255.00,10258.00,62
2017.01.18-07:45,10260.00,10265.00,10255.00,10265.00,53
2017.01.18-08:00,10265.00,10265.00,10253.00,10253.00,54
2017.01.18-08:15,10250.00,10258.00,10245.00,10250.00,47
2017.01.18-08:30,10253.00,10253.00,10240.00,10245.00,47
2017.01.18-08:45,10245.00,10250.00,10233.00,10238.00,50
2017.01.18-09:00,10235.00,10240.00,10230.00,10235.00,20
2017.01.18-09:15,10238.00,10238.00,10235.00,10235.00,11
2017.01.18-09:30,10235.00,10243.00,10235.00,10240.00,27
2017.01.18-09:45,10238.00,10240.00,10233.00,10235.00,24
2017.01.18-10:00,10238.00,10238.00,10233.00,10233.00,33
2017.01.18-10:15,10235.00,10238.00,10225.00,10225.00,67
2017.01.18-11:00,10225.00,10230.00,10225.00,10228.00,11
2017.01.18-11:15,10230.00,10230.00,10225.00,10228.00,6
2017.01.18-11:30,10228.00,10228.00,10228.00,10228.00,1
2017.01.18-11:45,10230.00,10230.00,10228.00,10228.00,2
2017.01.18-12:00,10230.00,10230.00,10228.00,10228.00,3
2017.01.18-12:15,10230.00,10235.00,10230.00,10233.00,5
2017.01.18-12:30,10233.00,10238.00,10233.00,10235.00,8
2017.01.18-12:45,10238.00,10238.00,10235.00,10238.00,3
2017.01.18-13:15,10240.00,10243.00,10240.00,10240.00,4
2017.01.18-13:30,10238.00,10238.00,10238.00,10238.00,2
2017.01.18-13:45,10240.00,10243.00,10240.00,10240.00,5
2017.01.18-14:00,10238.00,10240.00,10238.00,10240.00,9
2017.01.18-14:15,10238.00,10243.00,10238.00,10243.00,3
2017.01.18-14:45,10245.00,10245.00,10243.00,10243.00,4
2017.01.18-15:00,10245.00,10248.00,10240.00,10240.00,5
2017.01.18-15:15,10240.00,10248.00,10240.00,10245.00,12
2017.01.18-15:30,10248.00,10248.00,10245.00,10248.00,9
2017.01.18-15:45,10245.00,10245.00,10245.00,10245.00,4
2017.01.18-16:00,10248.00,10250.00,10248.00,10250.00,2
2017.01.18-16:15,10248.00,10248.00,10245.00,10245.00,3
2017.01.18-16:30,10245.00,10253.00,10243.00,10248.00,61
2017.01.18-16:45,10248.00,10250.00,10245.00,10250.00,13
2017.01.18-17:00,10248.00,10250.00,10248.00,10250.00,6
2017.01.18-17:15,10253.00,10253.00,10245.00,10245.00,3
2017.01.18-17:30,10245.00,10248.00,10245.00,10245.00,15
2017.01.18-17:45,10248.00,10250.00,10245.00,10245.00,9
2017.01.18-18:00,10248.00,10250.00,10245.00,10248.00,12
2017.01.18-18:15,10248.00,10250.00,10248.00,10250.00,2
2017.01.18-18:30,10248.00,10250.00,10245.00,10248.00,7
2017.01.18-18:45,10250.00,10250.00,10245.00,10245.00,6
2017.01.18-19:00,10248.00,10250.00,10248.00,10250.00,8
2017.01.18-19:15,10248.00,10250.00,10243.00,10245.00,11
2017.01.18-19:30,10245.00,10248.00,10243.00,10243.00,6
2017.01.18-19:45,10245.00,10245.00,10235.00,10235.00,3
2017.01.18-20:00,10238.00,10243.00,10238.00,10238.00,8
2017.01.18-20:15,10240.00,10240.00,10235.00,10238.00,9
2017.01.18-20:30,10240.00,10243.00,10233.00,10240.00,36
2017.01.18-21:00,10243.00,10243.00,10243.00,10243.00,1
